1.059458 0.166552
1.178373 0.086662
1.311429 0.072254
1.460307 0.065873
1.626890 0.062023
1.813281 0.059254
2.021837 0.057012
2.255194 0.055045
2.516301 0.053227
2.808457 0.051451
3.135355 0.049681
3.501126 0.047871
3.910392 0.046005
4.368327 0.044064
4.880717 0.042038
5.454038 0.039928
6.095536 0.037737
6.813317 0.035488
7.616454 0.033215
8.515096 0.030948
9.520600 0.028752
10.645674 0.026610
11.904536 0.024497
13.313096 0.022383
14.889155 0.020250
16.652632 0.018089
18.625813 0.015889
20.833635 0.013653
23.304001 0.011395
26.068130 0.009137
29.160957 0.006928
32.621571 0.004837
36.493698 0.002980
40.826286 0.001514
45.674080 0.000679
51.098354 0.000793
57.167656 0.002313
63.958687 0.005856
71.557281 0.012225
